,category,question,answer,links
10,민원발급,"[취학통지서] 발급기간 경과 이후 취학통지서 분실(온라인발급, 등기우편발급) 시 재발급은 가능한가요?","주민센터 방문을 통해 재발급 받으실 수 있으며, 신분증을 지참하셔야 합니다.",[]
11,민원발급,"[취학통지서] 취학통지서를 온라인으로 신청은 하였으나, 신청기간 내에 발급(인쇄)하지 않은 경우 어떻게 해야 하나요?","발급기간이 경과한 경우 발급은 어려우나, 관할 읍면동 주민센터에서 2023년 12월 11일(월)부터 12월 20일(수) 동안 우편 또는 인편으로 취학통지서를 의무적으로 송부합니다.",[]
12,민원발급,[취학통지서] 온라인으로 발급받았는데 왜 또 등기우편을 보내주나요?,"시스템상 제한요소＊로 인한 취학통지 누락 방지 및 입학을 위한 추가자료(학교안내자료, 예비소집 관련 자료 등) 발송을 위해 현재 보호자의 온라인 취학통지서 발급 여부와 무관하게 모든 취학대상아동의 보호자에게 등기우편이 발송되고 있습니다.
* 세대주만 신청이 가능한 점, 시스템 처리 과정에서의 누락 가능성 등",[]
13,민원발급,[취학통지서] 취학통지서를 온라인으로 발급받으면 등기우편은 안 오나요?,"아닙니다. 온라인 취학통지서를 받급받으셔도 등기우편으로 취학통지서를 받으실 수 있습니다.
등기우편 취학통지 기간은 12월 11일(월)부터 12월 20일(수)까지입니다.

※ 단, 개발 지자체의 상황*을 고려하여, 온라인 발급-출력을 완료한 보호자에 한하여 등기우편을 통한 취학통지를 실시하지 않을 수 있음
* 시스템 고도화가 완료되어 취학통지 누락 가능성이 없는 시도, 취학대상아동이 극소수인 시도 등",[]
14,민원발급,[취학통지서] 취학통지서 대상자나 '조회된 사항이 없습니다. 취학아동 보호자 및 대상자를 확인하세요'라고 뜹니다. 어떻게 해야 하나요?,동일 등본상 세대주 여부 및 보호자 등록확인이 필요합니다. 주민등록 관할 지역 주민센터로 문의하시기 바랍니다.,[]
15,민원발급,[취학통지서] 정부24에서 취학통지서 발급 신청 중 세대주/보호자가 아니라고 나옵니다. 어떻게 해야 하나요?,해당 사항은 관할 주민센터에 문의하여야 합니다.,[]
16,민원발급,"[취학통지서] 정부24에서 취학통지서를 발급(출력)했는데, 훼손된 경우 어떻게 해야 하나요?",발급서비스 가능 기간중에는 재신청 후 발급(출력)이 가능합니다.,[]
17,민원발급,[취학통지서] 온라인출력물 발행번호가 표기되어 있지 않아요?,온라인 발급물은 발행번호가 표기되지 않습니다.,[]
18,민원발급 | 민원신청,[지방직 공무원] 취업서류 일괄제출 서비스 활용 안내,"""[지방직 공무원] 취업서류 일과제출 서비스""는 지방직 공무원 임용등록 취업서류 준비 시 사용되는 서비스입니다.
""[지방직 공무원] 취업서류 일과제출 서비스""를 사용하여 제출된 서류는 ""지방자치단체 인터넷 원서접수센터 > 마이페이지 > 임용등록/취업서류"" 화면의 ""제출서류 확인"" 기능으로 확인하실 수 있습니다.
자세한 내용은 지방자치단체 원서접수센터에서 확인할 수 있습니다.

[지방자치단체 인터넷원서접수센터] : https://local.gosi.go.kr
[임용등록/취업서류 안내] : https://local.gosi.go.kr/klid/info/infoAppointReg.do",[]
19,민원신청,여권재발급 시 사진관련 오류 사항 ( 에러코드 : 701 ) 사진품질 검사,"1. 여권용 사진 규격에 맞는 사진 재 업로드 필요
※ 각 항목별 사유가 사용자에게 안내되고 있음.
안내 내용에 따라 조치 후 재 등록하도록 안내

(안내 예제)
ㅇ 얼굴이 중앙에 위치하지 않는 것으로 보입니다.
ㅇ 얼굴의 크기가 사진 틀에 비해 너무 작습니다. 정수리에서 턱 까지 길이가 사진 틀의 70% 이상(3.5 x 4.5 cm 사잔의 경우 3.2 cm 이상) 되도록 촬영해야 합니다.
(턱 아래에 그림자가 있어 목과 턱이 잘 구분되지 않거나, 얼굴 비율이 너무 큰 경우에도 사진을 교체해야 합니다.)
ㅇ 얼굴이나 어깨의 상하좌우 각도가 일부 기울어져 있는 것으로 보입니다.
ㅇ 머리카락, 안경, 그림자 등이 얼굴을 일부 가린 것으로 보입니다.
ㅇ 빛 반사, 사진 보정 또는 부적절한 프로파일이 감지되었습니다.
(SRGB 또는 adobeRGB 프로파일 권장)
ㅇ 배경은 균일한 흰 색이어야 하며 그림자, 빛 반사 또는 테두리가 없어야 합니다.
ㅇ 선명도가 낮습니다. 해상도는 300 dpi를 권장합니다.
ㅇ 입 벌림이 감지되었습니다.",[]
20,민원신청,여권재발급 시 사진관련 오류 사항 ( 에러코드 : 707 ) 여권용 사진 규격 준수여부,"1. 여권용 사진 규격에 맞는 사진 재 업로드 필요
※ 사진 규격 확인 방법
- 여권사진 마우스 우클릭 > 속성
- 자세히 탭에서 사진 크기 확인",[]
21,민원신청,여권재발급 시 사진관련 오류 사항 ( 에러코드 : 679 ) 유효하지 않은 사진,"1. 정부24에서 신청 시 외교부로 사진데이터가 전송되지 않았을 경우 에러발생
2. 접수 환경 변경
- 다른 PC / 모바일기기로 변경하여 접수",[]
22,민원신청,여권재발급 시 사진관련 오류 사항 ( 에러코드 : 706 ) 속성검사 실패,"1. 여권사진은 JPG 확장자의 사진파일만 업로드 가능
2. 정상적인 JPG 파일이 아닌 경우 해당 에러 발생
3. JGP 변경
- 여권사진 마우스 우클릭 > 편집
- 그림판 메뉴에서 파일 > 다른이름으로 저장 > JPEG 그림 선택
- 확장자 jpg 확인 후 저장",[]
23,민원신청,여권재발급 시 사진관련 오류 사항 ( 에러코드 : 704 ) 6개월 초과,"1. 여권사진은 6개월 이내 촬영된 사진이어야 하므로, 사진 속성의 찍은 날짜를 확인
2. 6개월 이내 사진이나, 속성이 잘못된 경우에는 찍은 날짜를 변경하여 접수
3. 찍은날짜 변경 방법
- 여권사진 마우스 우크릭 > 속성 선택
- 속성 창 > '자세히' 탭 선택
- 원본 > 찍은날짜 변경 (접수기준 6개월 이내)
※ 사진속성을 변경하여 시스템에서는 통과 될 수 있지만, 육안으로 심사 진행 시에 심사자에 의해 반려될 수 있음.",[]
24,민원신청,민원을 신청하려고 하는데 접수기관에 신청하려고 하는 시군구가 없을때 어떻게 해야 하나요?,"접수기관 목록에 신청대상 시군구가 없는 경우, 기관 요청으로 접수 처리가 안되는 기관입니다.

민원신청을 위해서는 자치단체에 방문하셔야 합니다.

※ [시군구 민원사무 중 기관 요청으로 접수 처리 안되는 목록]",['https://www.gov.kr/main?a=AA100DataDownViewAppNew&ca=512&cp=1']
25,보조금24,보조금24란 어떤 서비스인가요?,정부에서 개인·가구에게 제공하는 각종 혜택(보조금)을 확인하기 위해 행정기관이나 부처별 누리집을 방문하여 서비스 내용을 확인하지 않고도 정부24를 통해 내가 받을 수 있는 혜택을 쉽고 편리하게 확인할 수 있는 맞춤안내 서비스입니다.,[]
26,보조금24,보조금24 이용방법이 궁금합니다.,"- PC에서 정부24(www.gov.kr)에 접속하거나 모바일로 정부24 앱을 이용하여 보조금24를 확인할 수 있습니다.
- 보조금24는 정부24회원을 대상으로 서비스를 제공하며, 정부24 회원 로그인 후 보조금24 이용에 대한 동의 후에 이용할 수 있습니다.
- 서비스 이용 동의한 경우, 보조금24 메뉴 클릭 시 신청하면 받을 수 있는 혜택, 일부 자격조건만 확인되어 접수창구 담당자 확인이 필요한 혜택, 이미 받고 있는 혜택 목록을 확인할 수 있습니다.(""신청하세요, 확인하세요, 받고 있어요""로 구분하여 안내)",[]
27,보조금24,보조금24에서 맞춤 안내하는 혜택(보조금)은 무엇인가요?,"- 보조금24는 현금, 현물, 이용권 등 5,800여 개의 서비스(중앙부처 서비스 440여 개, 지자체 서비스 4,400여 개, 공공기관과 교육청 980여 개)에 대해 개인의 연령, 소득, 자격기준 정보를 행정기관에서 보유하고 있는 정보와 연계하여 맞춤 안내 서비스를 제공합니다.
- 분야별로는 복지, 고용, 농 · 수산분야 서비스가 많고, 수혜대상자 유형별로 보면 기초수급자, 차상위 등 저소득층, 노인, 장애인, 임산부 및 영유아 대상 서비스가 많습니다.
- 지원 형태별로 보면 현금지원(3,000여 개), 현물지원(1,000여 개), 의료지원, 일자리, 돌봄 등 서비스 지원(600여 개), 이용권(380여 개)의 순입니다.
- 보조금24는 맞춤안내 대상 서비스를 계속 늘려갈 것입니다.
- 이외에도 맞춤안내는 하지 않지만 국민들께 유용한 서비스가 다수 있으니, 필요한 서비스를 전체혜택이나 간편찾기에서 찾아보시기 바랍니다.",[]
28,보조금24,자신이 받을 수 있는 혜택 외에 부모나 자녀와 같이 함께 살고 있는 가족이 받을 수 있는 혜택(보조금)도 안내 받을 수 있나요?,"- 보조금24는 본인은 물론 14세 이상 가족이 사전에 동의하면 함께 사는 가족 뿐만 아니라 함께 살지 않는 가족의 정부 혜택도 확인할 수 있습니다.
- 14세 미만 자녀의 맞춤안내 조회 : 서비스 이용동의 시 14세 미만 자녀 정보이용에 동의하면 부모가 확인할 수 있습니다. MyGOV > 나의 회원정보 > 서비스 이용동의에서 선택할 수 있습니다.
- 가족 맞춤안내 조회 범위 : 주민등록등본상 동일 세대원인 가족(동거인은 미포함) 또는 가족관계등록부상 배우자 및 직계 존비속",[]
29,보조금24,보조금24 맞춤 안내 결과는 어떻게 나오는 건가요?,"- 개인의 회원정보(식별정보)를 토대로 여러 행정기관이 보유하고 있는 주민등록, 소득정보, 기초수급자·차상위 등 가구특성, 장애인·농업인·유공자 등 개인 자격정보와 서비스 수급 여부를 확인하여 서비스별 연령·소득·가구 특성 및 자격정보를 매칭하여 서비스 대상자 조건이 모두 일치하는 경우에는 '신청하세요'로, 일부 조건만 확인되는 경우에는 '확인하세요'로 안내하고 있습니다.
- 보조금24는 여러 서비스별 대상자 자격조건을 시스템간 정보연계를 통해 확인 가능한 정보로 혜택받을 수 있는지를 안내하고 있으며, 일부 서비스의 경우 당해 연도 예산, 신청시기, 기관의 사정 등에 따라 다를 수 있으므로 서비스 안내 정보의 문의처나 접수기관에 추가 확인해 보시기 바랍니다.",[]
30,보조금24,맞춤 안내 받은 서비스를 보조금24에서 신청할 수 있나요?,"- 맞춤안내 대상 5,800여 개의 서비스 중 정부24에서 온라인 신청이 가능한 서비스는 1,000 여 개입니다. 서비스별 안내 정보 중 신청방법이 '바로 신청하기'로 안내되는 서비스입니다.
- 정부24가 아닌 복지로, 기관의 사이트 등 타 사이트에서 신청 가능한 서비스는 730여 개로, 서비스별 안내 정보에 '타 사이트 신청'으로 안내되는 서비스이며 클릭 시 해당 누리집 메인화면으로 이동하게 됩니다. 보조금24에서는 이러한 링크 서비스를 관계 기관과 협의하여 해당 신청 화면으로 바로 이동할 수 있도록 개선할 예정입니다.",[]
31,보조금24,정부가 지원하는 모든 보조금 사업을 안내하나요?,"- 정부의 보조금 사업정보는 기획재정부의 e나라도움(www.gosims.go.kr)에서 확인하시면 됩니다.
- 보조금24에서는 개인·가구를 대상으로 현금·현물·이용권 등을 제공하는 보조금 사업 또는 정부 지원 사업을 통해 제공되는 서비스를 대상으로 안내하고 있습니다.
- 협회·단체·법인·시설 등을 대상으로 지원하는 사업, 시설 운영 및 R&D 등 개인이 신청해야 받는 서비스와 관련 없는 보조금 사업은 보조금24 서비스 대상이 아닙니다.",[]
32,보조금24,보조금24 맞춤 안내 결과 '신청하세요' 또는 '확인하세요'로 안내되는 서비스에 대해 묻고 싶습니다. 어디로 연락하면 될까요?,"- 보조금24에서 안내되는 1만 여 개에 대해 서비스별 지원 대상자, 선정기준, 지원내용, 신청방법 등 세부사항은 서비스 안내 정보의 문의처 또는 접수기관 정보를 확인하시기 바랍니다.
- 그 외 맞춤 안내 결과, 대상 서비스 목록, 시스템 오류 관련 사항은 정부24 헬프데스크(1588-2188)로 문의하시기 바랍니다.",[]
33,보조금24,"지난해 코로나로 인해 지난해 소득이 적은데, 보조금24에서 받을 수 있는 혜택이 없다고 나옵니다.","- 보조금24의 맞춤안내 5,800여 개 서비스 중 약 460여 개의 서비스는 중위소득구간(재산·소득정보)이 필수 자격조건이라 현재 소득구간이 확인되는 공적급여 대상자(기초수급자, 차상위계층, 기초연금 수급자 등)에 한해서 서비스를 제공하고 있습니다.
- 공적급여 대상자가 아닌 국민의 경우에는 소득기준과 상관없는 5,300여 개의 서비스를 대상으로 맞춤 안내 제공 중이며, 향후 행정기관 간 정보 연계를 통해 소득정보 확인이 되는 대상자가 늘게 되면 이에 대한 서비스도 안내될 것입니다.
- 코로나19 정부 지원 혜택과 같이 추경 예산 등을 통해 지원하는 신규 혜택들도 정부부처 담당자가 서비스 정보를 통합관리시스템에 등록하면 보조금24를 통해 안내될 예정입니다.",[]
34,보조금24,현재 보여주고 있는 수혜서비스가 전부인가요? 다음 번에 접속하여도 동일하게 보여지는지요?,"- 중앙부처, 지자체, 공공기관 서비스 중 5,800여 개를 대상으로 맞춤안내하고 있으며, 개인에게 동의를 받아 동일세대에 거주하는 세대원과 분리세대의 가족이 받을 수 있는 혜택까지 확대 제공하고 있습니다.
- 다만, 보조금24의 개인의 자격조건이 변동 없을 경우, 한시적으로 제공되는 신규서비스 등을 제외하고는 맞춤 안내되는 서비스 내역은 크게 바뀌지 않을 것입니다.",[]
35,보조금24,받을 수 있는 혜택이 많을 거라 생각했는데 그렇지 않네요. 맞춤안내 결과를 신뢰할 수 있나요?,"- 보조금24는 소득기준, 개인 특성, 가구 특성, 연령 조건별 여러 자격을 행정기관에서 보유하고 있는 정보 연계를 통해 확인되는 자격정보로 서비스별 자격조건과 매칭하여 맞춤 안내 결과를 제공하고 있습니다.
- 소득기준, 개인 특성, 가구 특성, 연령 조건 등에 따라 개개인이 받을 수 있는 정부 지원 혜택은 많을 수도 있고, 없을 수도 있습니다.
공적급여 대상인 기초수급자, 차상위, 한 부모가정 등 저소득가구 대상으로 지원하는 혜택이 다양합니다.
- 장애인, 임산부, 보훈대상자와 같이 개인 특성에 따라 여러 혜택이 있으며, 영유아, 어린이, 대학생, 노인을 연령 조건에 따라 지원 혜택이 많습니다.
- 서비스별 소득기준, 가구 특성에 관련된 자격에 대한 정보연계를 확대하고 있어 추후 맞춤 안내 결과에 대한 신뢰도도 향상될 것입니다.",[]
36,보조금24,"일부 정보는 사실과 다른 거 같아요, 이미 받고 있는 서비스가 '확인하세요'로 안내되네요.","- 보조금24에서 안내되고 있는 서비스 중 일부는 수급 여부에 대한 시스템 간 정보연계가 안되어 있어, 받고 있지만 받을 수 있는 혜택('확인하세요')으로 안내되고 있습니다.
- 보다 정확한 서비스 제공을 위해 수급 여부에 대해 정보연계를 지속적으로 확대하고 있습니다. """,[]
37,보조금24,인터넷 사용이 어려운 부모님은 어떻게 정보를 안내받을 수 있을까요?,"- [주민센터 방문 확인] 인터넷 사용이 어려운 디지털 약자(어르신, 정보화 기기 무보 유자)는 신분증을 지참하여 가까운 주민센터를 방문하여 신청서를 작성, 제출하시면 온라인과 동일하게 내가 받을 수 있는 정부 지원 혜택들을 안내받을 수 있습니다.
또한, 가족에게 목록 열람 정보제공 동의하면, 동의 받은 가족이 언제든지 내가 받을 수 있는 혜택을 조회하여 알려줄 수 있습니다.

- [자녀에게 정보제공 동의 후 온라인 확인] 22년 12월부터는 정부24 웹/앱의 보조금24에서 자녀가 따로 사는 부모님의 혜택을 확인할 수 있습니다. 정부24 웹/앱 접속 > 보조금24 메뉴 > 맞춤안내 설정 > 가족 추가 > 부모님 정보제공 동의 진행 > 맞춤안내 조회 > 혜택 확인·신청할 수 있습니다.",[]
38,보조금24,17세 자녀도 같이 살고 있는데 부모가 보조금24에서 확인할 수 없나요?,"- 보조금24는 개인별 맞춤 안내 서비스를 제공하고 있으며, 개인정보보호법 제22조에 의거 만 14세 미만 아동에 대해서는 부모의 동의를 받아 서비스를 제공 중이며,
- 만 14세 이상 가족인 경우 주민등록상 같은 세대에 거주하고 있는가족과 함께 살지 않는 분리세대 가족에게 사전 동의를 받아 우리 가족 맞춤 서비스를 확대 제공하고 있습니다.
맞춤안내 조회할 가족추가는 '보조금24 > 맞춤안내 설정 > 가족추가'를 이용하시기 바랍니다.
※ 단독조회 시 중위소득 기준에 따라 받을 수 있는 서비스가 조회되지 않을 수 있습니다.",[]
39,보조금24,가족 구성하라고 계속 안내되고 있는데 가족은 반드시 구성해야 하는 건가요?,"- 아니요. 그렇지 않습니다.
- 보조금24를 직접 이용하기 어려운 경우 또는 가족 소득정보 기반의 맞춤안내를 제공받기 원하는 경우 이용하시기 바랍니다.",[]
40,보조금24,가족을 추가했는데 '미동의'라고 표시되고 있어요.,"- 가족에게 정보제공 요청 후 요청 받은 가족이 제공동의 하지 않은 경우 '미동의'로 표출됩니다.
- 정보제공 요청받은 가족이 PC를 이용할 경우 ‘정부24 > 서비스 > 사실/진위확인’ 메뉴로 이동하여, ‘보조금24 세대원 정보동의’에 접속하여 본인확인 후 정보제공 동의를 완료하면 됩니다.
- 정보제공 요청 받은 가족이 스마트폰 또는 테블릿PC를 이용할 경우 정부24 App 설치 후 ‘정부24 > 서비스 > 신청/확인/공유 > 사실/진위확인’ 메뉴로 이동하여, ‘보조금24 세대원 정보동의’로 접속하여 본인확인 후 정보제공 동의 완료하면 됩니다.",[]
41,보조금24,가족이 정보제공 동의를 완료했는데 나의 혜택에서는 추가한 가족의 혜택을 확인할 수 없어요.,"- 가족이 정보제공 동의를 완료하여 가족이 구성되었더라도, '맞춤안내 조회(재조회)' 전까지는 우리 가족 맞춤안내를 확인할 수 없습니다.
- '보조금24 > 나의 혜택'에 접속하여 '맞춤안내 조회(재조회)'를 진행하면 우리 가족 맞춤안내를 확인할 수 있습니다.",[]
42,보조금24,'신청하세요'로 안내된 서비스를 신청하려고 안내된 문의처에 확인해 보니 올해는 신청기한이 지났다고 합니다. 좀 더 정확하게 안내되었으면 더 좋을 거 같아요.,"- 서비스별 소관 부서에서 등록한 안내 정보로 보조금24에서는 표출되고 있습니다. 일부 지자체마다 사업 기간이 다르고, 신청 시기 등이 상이한 경우가 있는데 접수·확인된 내용에 대해서는 안내 정보를 보완할 예정입니다.",[]
43,보조금24,보조금24가 보건복지부 복지로 또는 복지멤버십 서비스와는 어떻게 다른가요?,"- 복지분야의 서비스를 온라인에서 안내하고 신청하는 누리집이 복지로(복지멤버십)이라면, 보조금24는 복지분야뿐 아니라 고용, 농림, 수산, 보훈 등 전 분야에 걸쳐 개인이 받을 수 있는 모든 서비스(보조금)를 한 곳에서 한 번에 확인할 수 있는 맞춤 안내 서비스입니다.",[]
44,보조금24,"구글플레이에 등록된 보조금24 이용안내 앱(보조금24 활용안내서, 보조금24 이용안내 등)은 어떤 앱인가요?","- 현재 구글플레이에 등록되어 있는 보조금24 이용안내 관련 앱은 행정안전부에서 제공하는 「보조금24」 이용안내 정보를 활용하여 개인이 제작, 배포한 앱임을 알려드립니다.
- 「보조금24」 서비스는 정부24 회원을 대상으로 맞춤안내 서비스를 제공합니다. 따라서 「보조금24」 관련 이용안내 및 서비스 이용은 정부24 홈페이지(www.gov.kr) 또는 정부24 앱에서 확인해 주시기 바랍니다.",[]
45,민원신청,"[취학통지서] 출력한 취학통지서의 우측 상단과 하단에 바코드가 찍히지 않는 경우가 있는데, 문서에 문제가 있는 것은 아닌지?","취학통지서를 출력하는 프린터의 사양과 특성에 따라 간혹 찍히지 않는 경우가 있으나, 문서의 효력에는 문제가 없습니다.",[]
46,민원신청,[취학통지서] 장애아동 등 특수교육이 필요한 취학아동에 대해 취학통지서를 발급하려면 어떻게 해야 하는지?,특수교육 대상자는 인근 특수교육지원센터에서 맞춤형 지원 및 안내 서비스를 받을 수 있습니다.,[]
47,민원신청,"[취학통지서] 취학아동 주소지가 서울인 경우, 서울시가 제공하는 취학통지서 온라인 발급서비스를 이용해도 되는지?",서울 주소지의 경우 정부24 및 서울시 온라인민원서비스의 온라인 발급 서비스를 모두 이용할 수 있습니다.,[]
48,민원신청,[취학통지서] 취학통지서 이외에 제공되는 취학아동 관련 안내문은 어떻게 받아야 하나요?,"취학아동 관련 안내문(예방접종 안내, 아동 돌봄서비스 안내, 예비학부모를 위한 안내, 교육급여신청 안내 등)은 관할 주민센터를 통해 문의 바랍니다.",[]
49,민원신청,[취학통지서] 취학통지서에 학교 예비소집 날짜가 기재되어 있지 않습니다. 예비소집 날짜에 대한 것은 누구에게 물어보면 되나요?,"학교의 예비소집일이 확정되지 않은 경우에는 미기재 상태로 발급되므로, 배정 받은 학교에 직접 문의해 주시기 바랍니다.",[]
50,민원신청,[취학통지서] 취학통지서로 배정받은 학교가 아닌 다른 학교에 입학하고 싶습니다. 어떻게 해야 하나요?,"부득이한 사유로 다른 학교입학을 원할 경우, 원하는 학교에 직접 신청해야 합니다.",[]
51,민원신청,[취학통지서] 취학통지서는 언제 사용(제출)하여야 하나요?,취학아동 보호자(세대주)는 해당 학교 예비소집에 참석하여 학교측에 취학통지서를 직접 제출하시면 됩니다.,[]
52,민원신청,[취학통지서] 취학통지서의 우편(등기) 또는 인편 발송기간은 언제인가요?,관할 읍면동 주민센터는 2023년 12월 11일(월) 부터 12월 20일(수) 동안 우편 또는 인편으로 취학통지서를 발급합니다.,[]
53,민원신청,[취학통지서] 취학통지서는 언제까지 온라인 발급이 가능한가요?,정부24를 통한 온라인 발급서비스 가능 기간은 2023년 12월 1일 오전 10시부터 12월 20일 24시(밤 12시)까지입니다.,[]
54,민원신청,[취학통지서] 취학통지서 온라인 발급을 위해서 반드시 인증서가 필요한가요?,"취학통지서 온라인 발급은 반드시 세대주(보호자)의 본인 인증이 필요한 서비스이며, 인증서가 없으면 간편인증을 통해 신청, 발급이 가능합니다.",[]
55,민원신청,[취학통지서] 스마트폰(모바일앱)을 통해서는 취학통지서를 발급 받을 수 있나요?,"취학통지서 온라인 발급은 PC와 모바일 환경 모두에서 가능합니다.
단, 모바일앱을 통해서는 출력할 수 없으니 PC 환경을 통해 출력하시기 바랍니다.",[]
56,민원신청,"[취학통지서] 정부24에서 취학통지서를 열람, 확인은 하였는데 발급(출력) 받지 못했습니다. 어떻게 해야 하나요?","발급서비스 가능 기간중에는 재신청 후 열람, 확인, 발급(출력)이 가능합니다.",[]
57,민원신청,[취학통지서] 온라인 발급 기간중에 취학대상 아동의 가정이 이사하는 경우에는 어떻게 해야 하나요?,"주민센터에서 전입신고를 마치면 정부24에서 온라인 발급이 가능하며, 이전한 주소지 관할 주민센터에서 우편ㆍ인편으로 취학통지를 받으실 수 있습니다.",[]
58,민원신청,[취학통지서] 아이가 쌍둥이 입니다. 취학통지서를 어떻게 발급받아야 하나요?,"복수의 취학아동에 대하여 온라인 발급을 신청하는 경우, 한 명씩 별도로 입력하여 신청ㆍ발급이 가능합니다.",[]
59,민원신청,"[취학통지서] 취학아동이 이사를 하여 거주지가 바뀌었는데, 취학통지서는 이전 거주지 기준으로 발급되어 있습니다.","이사간 지역의 관할 주민센터를 통해 거주지 변경을 요청한 후, 정부24에서 온라인 발급을 진행하여 주십시오.",[]
